,ID,Sexo,Edad,NSE,Zona,COMUNA,Expansor,auto_propio,residencia,usuario_app_mov,no_uso_mov_precio,no_uso_mov_autopropio,no_uso_mov_taxi,no_uso_mov_publico,no_uso_mov_confianza,no_uso_mov_trauma,no_uso_mov_conocimiento,no_uso_mov_nodisp,app_mov_uber,app_mov_didi,app_mov_cabify,app_mov_lime,app_mov_whoosh,app_mov_jet,app_mov_indrive,app_mov_biciitau,app_mov_otro,tiempo_app_mov,frec_app_mov,fin_app_mov_trabajoestudio,fin_app_mov_ocio,fin_app_mov_tramitescompras,fin_app_mov_conectcontransporte,fin_app_mov_otro,reemplazo_app_mov,posit_app_mov,negat_app_mov,sit_app_mov_atraso,sit_app_mov_noche,sit_app_mov_sintranspub,sit_app_mov_cansado,sit_app_mov_grupo,sit_app_mov_desconocido,sit_app_mov_inseguro,usuario_app_deli,no_uso_deli_precio,no_uso_deli_presencial,no_uso_deli_confianza,no_uso_deli_conocimiento,no_uso_deli_nodisp,app_deli_rappi,app_deli_pedidosya,app_deli_ubereats,app_deli_didifood,app_deli_especifica,app_deli_otra,tiempo_app_deli,frec_app_deli,posit_app_deli,negat_app_deli,sit_app_deli_tiempo,sit_app_deli_cansado,sit_app_deli_gusto,sit_app_deli_especial,sit_app_deli_grupo,taxi_calle,taxi_terminal,taxi_agencia,taxi_conocido,taxi_app,taxi_no,auto_o_app_mov_gratis,renuncia_app_mov_vs_deli,impacto_no_app_mov,impacto_no_app_deli,impacto_abierta
0,1,MASCULINO,[41 - 50],C3,Sur,CABRERO,8445.418588067507,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,,Didi,,,,,,,,Menos de un año,Entre una y tres veces al mes,,,Para hacer trámites o compras,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Transporte público,Comodidad,Finanzas personales o del hogar,,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,Cuando no conozco bien el lugar a donde voy,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,PedidosYa,,,,,Menos de un año,Solo ocasionalmente (menos de una vez al mes),Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,,,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,"No dependo de ellas, solo las uso en ocasiones especificas"
1,2,MASCULINO,[61 Ó MAS],D+E,Sur,SAN RAFAEL,8539.256572379369,Tengo mi propio auto,Rural,Como usuario,,,,,,,,,Uber,,,,,,,,,8-11 años - Desde que llegaron a Chile (2014) o un poco después,Entre una y tres veces al mes,,,,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Con un taxi tradicional,Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,Cuando no conozco bien el lugar a donde voy,,Nunca las he usado,,,,,No están disponibles donde vivo,,,,,,,,,,,,Cuando estoy cansado/a,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,,,"Sí, desde un aeropuerto, estación de buses, u otro lugar donde suelen estacionarse para esperar pasajeros","Sí, pedí uno a domicilio a través de una agencia de taxis","Sí, tengo un taxista conocido con quien me comunico directamente",,,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,"Vivo en un sector rural, estoy acostumbrado a movilizarme y a realizar mis alimentos sin problema,si necesito algo voy y lo compro"
2,3,FEMENINO,[61 Ó MAS],D+E,Sur,QUIRIHUE,7882.390682196339,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Urbano,Como usuario,,,,,,,,,,Didi,,,,,,,,2-3 años - Desde después de la pandemia,Menos de una vez al mes,,,,,Volver de visitar a mi familia,Transporte público,Tiempo para actividades de ocio y/o descanso,Salud física,,Cuando se hizo de noche,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,PedidosYa,,,,,2-3 años - Desde después de la pandemia,Solo ocasionalmente (menos de una vez al mes),Salud física,Salud mental,,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,No se
3,4,MASCULINO,[18 - 30],C2,RM,RECOLETA,7778.675015325334,"No soy dueño de un auto, pero puedo pedir prestado un auto a un familiar o amigo cuando lo necesito",Urbano,Como usuario,,,,,,,,,Uber,Didi,Cabify,,,Jet,,,,8-11 años - Desde que llegaron a Chile (2014) o un poco después,Entre una y tres veces al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,,,"Con auto particular (ya sea mío o de un familiar, amigo o conocido)",Tiempo para actividades de ocio y/o descanso,Salud mental,Cuando voy atrasado/a,Cuando se hizo de noche,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,,,Como usuario,,,,,,Rappi,,Uber Eats,,,Justo,6-8 años - Desde que llegaron a Chile (2018) o un poco después,Dos o tres veces al mes,Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,Cuando me quiero dar un gusto,,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría mucho mi vida,Empeoraría mucho mi vida,"La comodidad que entregan estas apps es genial, he estado en lugares en los que no hay y se extrañan mucho"
4,5,MASCULINO,[18 - 30],C3,RM,CERRILLOS,7778.675015325334,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Urbano,Como usuario,,,,,,,,,Uber,Didi,,,,,,,,Menos de un año,Entre una y tres veces al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,,,Transporte público,Tiempo para actividades de ocio y/o descanso,Finanzas personales o del hogar,Cuando voy atrasado/a,,Cuando el transporte público no está disponible a la hora o lugar donde voy,Cuando estoy cansado/a,,,,Como usuario,,,,,,,PedidosYa,,,,,Menos de un año,Dos o tres veces al mes,Comodidad,Finanzas personales o del hogar,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,,Para una reunión social o alguna fecha especial,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,"El transporte es necesario, pero la comida tú puedes hacer algo siemple y no pasa nada"
5,6,MASCULINO,[18 - 30],C3,RM,RECOLETA,7778.675015325334,Tengo mi propio auto,Urbano,Como usuario y como conductor,,,,,,,,,Uber,Didi,,,,,,,,2-3 años - Desde después de la pandemia,Entre una y tres veces al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,"Con auto particular (ya sea mío o de un familiar, amigo o conocido)",Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,,Cuando el transporte público no está disponible a la hora o lugar donde voy,Cuando estoy cansado/a,,,,Como usuario,,,,,,,PedidosYa,,,"Pido delivery a través de la página específica del restaurant o retailer (Lider, Jumbo, Sushi, Pizzerías, etc.)",,4-5 años - Desde la pandemia,Dos o tres veces al mes,Tiempo para actividades de ocio y/o descanso,Salud física,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,Cuando estoy cansado/a,Cuando me quiero dar un gusto,,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,"Creo que no es tan relevante no tenerlas ya que en mi caso tengo vehículo propio, si es de una gran ayuda pero en mi caso no me afectaría tanto no tenerlas estas dos aplicaciones"
6,7,MASCULINO,[18 - 30],C3,Norte,ANTOFAGASTA,8500.617402368602,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Urbano,Como usuario,,,,,,,,,Uber,,,,,,,,,8-11 años - Desde que llegaron a Chile (2014) o un poco después,Entre una y tres veces al mes,Para ir o volver del trabajo o del lugar de estudio,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",Para hacer trámites o compras,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Transporte público,Comodidad,Finanzas personales o del hogar,Cuando voy atrasado/a,,Cuando el transporte público no está disponible a la hora o lugar donde voy,,,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,,Uber Eats,,"Pido delivery a través de la página específica del restaurant o retailer (Lider, Jumbo, Sushi, Pizzerías, etc.)",,6-8 años - Desde que llegaron a Chile (2018) o un poco después,Al menos una vez al mes,Comodidad,Finanzas personales o del hogar,,Cuando estoy cansado/a,Cuando me quiero dar un gusto,,Cuando estoy con más personas y puedo compartir el costo,,,,,,No,Poder usar la aplicación de movilidad gratuita,Renunciaría a las aplicaciones de movilidad,Empeoraría un poco mi vida,Empeoraría un poco mi vida,"No afectaría tanto a mi vida ya que no son aplicaciones que suelo ocupar mucho, siempre y cuando las aplicaciones sean reguladas por leyes o varios, por mi mejor así se siente mucho más cómodo además de seguro de ir en algo que está regulado dónde estuvo algún tipo de fiscalización pero más allá de afectarme mucho no pero si quitan a veces un peso sobre todo en juntas sociales dónde no llega el transporte o por horario ya no están disponibles estos servicios de transporte público entonces es mejor mucho más fácil el precio se dispara si pero mucho más cómodo y seguro que estar caminando de noche esperando transporte público"
7,8,MASCULINO,[41 - 50],D+E,Sur,COYHAIQUE,8758.211869107043,Tengo mi propio auto,Urbano,Como usuario,,,,,,,,,Uber,Didi,,,,,,,,Menos de un año,Menos de una vez al mes,,,,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Transporte público,Comodidad,Finanzas personales o del hogar,,Cuando se hizo de noche,,Cuando estoy cansado/a,,Cuando no conozco bien el lugar a donde voy,,Nunca las he usado,,,,,No están disponibles donde vivo,,,,,,,,,,,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,,Cuando estoy con más personas y puedo compartir el costo,,,"Sí, pedí uno a domicilio a través de una agencia de taxis",,,,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,No me afectaría,No me afectaría,Porque no las uso con frecuencia o rara vez ...para no decir nunca ..así que no me afectan ni dependo de ellas para mi existencia...
8,9,MASCULINO,[18 - 30],C3,RM,SANTIAGO,9031.90599001664,Tengo mi propio auto,Urbano,Como usuario y como conductor,,,,,,,,,Uber,Didi,,,,,,,,4-7 años - Desde la pandemia o un poco antes,Entre una y tres veces a la semana,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Transporte público,Finanzas personales o del hogar,Tiempo para trabajar,Cuando voy atrasado/a,Cuando se hizo de noche,,,,,Cuando el lugar hacia donde o desde donde voy me parece inseguro,Como usuario,,,,,,,PedidosYa,Uber Eats,DiDi Food,,,4-5 años - Desde la pandemia,Al menos una vez al mes,Comodidad,Salud física,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,,Para una reunión social o alguna fecha especial,Cuando estoy con más personas y puedo compartir el costo,,,,"Sí, tengo un taxista conocido con quien me comunico directamente",,,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de movilidad,No me afectaría,No me afectaría,Mejoraría la vida porque habría menos obesidad
9,10,MASCULINO,[18 - 30],C3,V Región,VILLA ALEMANA,10818.967603014584,"No tengo auto, ni puedo pedir prestado uno/No sé manejar",Urbano,Como usuario,,,,,,,,,Uber,,,,,,,,,8-11 años - Desde que llegaron a Chile (2014) o un poco después,Menos de una vez al mes,,"Para ir o volver de eventos de ocio (reuniones sociales, conciertos, cine, etc.)",,"Para trasladarme hacia o desde terminal de buses, al aeropuerto o a la estación de tren al hacer un viaje",,Bicicleta,Comodidad,Finanzas personales o del hogar,,Cuando se hizo de noche,Cuando el transporte público no está disponible a la hora o lugar donde voy,,Cuando voy con más personas y puedo compartir el costo,,,Como usuario,,,,,,,PedidosYa,,,,,2-3 años - Desde después de la pandemia,Solo ocasionalmente (menos de una vez al mes),Comodidad,Salud física,Cuando tengo mucho que hacer y no tengo tiempo para cocinar/comprar,,Cuando me quiero dar un gusto,Para una reunión social o alguna fecha especial,,,,,,,No,Tener auto y bencina gratuitos,Renunciaría a las aplicaciones de delivery,Empeoraría un poco mi vida,No me afectaría,Por lo general las ocaciones en las que más suelo pedir delivery es cuando no alcanzó a cocinar o no quise cocinar porque tengo que ir al trabajo y por lo general mi rubro siempre está rodeado de tiendas entonces tengo como suplir esa necesidad. Y en cuanto a las apps de movilidad no me complicó en usar transporte público y bicicleta
